Person_ID,Occupation,Area_Selected,Monthly_Rent,Distance_To_Work,Public_Transport,Safety_Rating,Nearby_Hospitals,Nearby_Schools,Shopping_Access,Noise_Level,Internet_Availability,Main_Reason,Household_Type,Age,Annual_Income,Monthly_Income,Rent_Income_Ratio
P0285,Business,Green Valley,22000.0,2.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Family,26.0,1176000.0,98000.0,0.22448979591836735
P0412,Healthcare,Tech Park,23500.0,2.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Single,60.0,252000.0,21000.0,1.119047619047619
P0494,Government,Green Valley,20500.0,9.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Couple,43.0,768000.0,64000.0,0.3203125
P0040,Finance,North Avenue,16500.0,10.0,Good,4.0,No,Yes,Good,Medium,Good,Schools,Single,33.0,768000.0,64000.0,0.2578125
P0255,Self-Employed,North Avenue,20000.0,9.4,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,46.0,876000.0,73000.0,0.273972602739726
P0592,Teacher,Lake View,21000.0,7.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,58.0,948000.0,79000.0,0.26582278481012656
P0263,Teacher,Lake View,25000.0,13.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Single,34.0,1056000.0,88000.0,0.2840909090909091
P0198,Healthcare,City Center,27500.0,2.2,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Quiet Environment,Family,54.0,696000.0,58000.0,0.47413793103448276
P0437,Government,Lake View,18500.0,12.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,22.0,1020000.0,85000.0,0.21764705882352942
P0221,Healthcare,North Avenue,19000.0,10.8,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Family,31.0,156000.0,13000.0,1.4615384615384615
P0305,It Professional,Green Valley,19000.0,9.6,Good,5.0,No,Yes,Good,Low,Excellent,Safety,Family,34.0,1680000.0,140000.0,0.1357142857142857
P0573,Self-Employed,Lake View,24000.0,12.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Single,33.0,1608000.0,134000.0,0.1791044776119403
P0355,Self-Employed,City Center,29000.0,4.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,24.0,468000.0,39000.0,0.7435897435897436
P0135,Healthcare,Hill View,13500.0,8.6,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Family,42.0,996000.0,83000.0,0.16265060240963855
P0431,Healthcare,Lake View,22500.0,12.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,44.0,948000.0,79000.0,0.2848101265822785
P0428,Healthcare,North Avenue,17000.0,3.5,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Couple,62.0,804000.0,67000.0,0.2537313432835821
P0262,Self-Employed,South Garden,10500.0,15.2,Average,3.0,No,Yes,Average,Low,Average,Quiet Environment,Family,38.0,1140000.0,95000.0,0.11052631578947368
P0062,Self-Employed,Riverside,19000.0,12.9,Average,4.0,Yes,Yes,Good,Low,Good,Shopping Access,Family,25.0,996000.0,83000.0,0.2289156626506024
P0125,It Professional,Hill View,14500.0,17.6,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Couple,34.0,984000.0,82000.0,0.17682926829268292
P0357,Self-Employed,Green Valley,19500.0,10.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,36.0,720000.0,60000.0,0.325
