Person_ID,Occupation,Area_Selected,Monthly_Rent,Distance_To_Work,Public_Transport,Safety_Rating,Nearby_Hospitals,Nearby_Schools,Shopping_Access,Noise_Level,Internet_Availability,Main_Reason,Household_Type,Age,Annual_Income
P0285,Business,Green Valley,22000.0,2.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Family,26.0,1176000.0
P0412,Healthcare,Tech Park,23500.0,2.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Single,60.0,252000.0
P0494,Government,Green Valley,20500.0,9.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Couple,43.0,6000000.0
P0040,Finance,North Avenue,16500.0,10.0,Good,4.0,NO,Yes,Good,Medium,Good,Schools,Single,33.0,
P0255,Self-Employed,North Avenue,20000.0,9.4,Good,4.0,Yes,Yes,Good,Medium,GOOD,Short Commute,Couple,46.0,876000.0
P0592,Teacher,Lake View,21000.0,7.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,58.0,948000.0
P0263,Teacher,Lake View,25000.0,13.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Single,34.0,1056000.0
P0198,Healthcare,City Center,27500.0,2.2,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Quiet Environment,Family,54.0,696000.0
P0437,Government,Lake View,18500.0,12.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,22.0,1020000.0
P0221,Healthcare,North Avenue,19000.0,10.8,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Family,31.0,156000.0
P0305,,Green Valley,19000.0,9.6,Good,5.0,NO,Yes,Good,Low,Excellent,Safety,Family,34.0,1680000.0
P0573,Self-Employed,Lake View,24000.0,12.9,,5.0,YES,Yes,Good,Low,Excellent,Affordable Rent,Single,33.0,1608000.0
P0355,Self-Employed,City Center,29000.0,4.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,24.0,468000.0
P0135,Healthcare,Hill View,13500.0,150.0,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Family,42.0,996000.0
P0431,Healthcare,Lake View,22500.0,12.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,44.0,948000.0
P0428,Healthcare,North Avenue,17000.0,3.5,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Couple,62.0,804000.0
P0262,Self-Employed,South Garden,10500.0,15.2,Average,3.0,No,Yes,Average,Low,Average,Quiet Environment,Family,38.0,1140000.0
P0062,Self-Employed,Riverside,19000.0,12.9,Average,4.0,Yes,Yes,Good,Low,Good,Shopping Access,Family,25.0,996000.0
P0125,IT Professional,Hill View,14500.0,17.6,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Couple,34.0,984000.0
P0357,Self-Employed,Green Valley,19500.0,10.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,36.0,720000.0
P0457,Teacher,Lake View,20500.0,5.8,Good,5.0,Yes,Yes,Good,Low,Excellent,,Couple,46.0,348000.0
P0548,Healthcare,Hill View,13000.0,15.5,Poor,4.0,No,Yes,Average,Low,Good,Schools,Family,29.0,240000.0
P0155,Teacher,Green Valley,18500.0,4.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Couple,24.0,1380000.0
P0160,Government,South Garden,13000.0,150.0,Average,3.0,No,Yes,Average,Low,Average,Safety,Family,18.0,192000.0
P0461,Business,City Center,27500.0,10.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Couple,32.0,192000.0
P0522,Healthcare,Lake View,20500.0,11.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Couple,25.0,1116000.0
P0364,Finance,Riverside,19500.0,14.4,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Couple,32.0,1068000.0
P0590,Finance,Green Valley,17500.0,10.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,40.0,840000.0
P0185,Self-Employed,,18500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Family,19.0,744000.0
P0511,Finance,Riverside,18000.0,13.6,Average,4.0,Yes,Yes,Good,Low,Good,Schools,Family,51.0,1812000.0
P0101,Business,Hill View,17000.0,14.3,Poor,4.0,No,Yes,Average,Low,Good,Safety,Family,29.0,144000.0
P0487,Self-Employed,Tech Park,26000.0,1.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Couple,40.0,240000.0
P0329,self-employed,City Center ,27000.0,5.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,20.0,1704000.0
